español,nahuatl
a hacia,kanapa
a hacia,kana
a alguna parte,kanaj
a buen tiempo,yekkan
a buen tiempo,kualkan
a cada uno,sesenyaka
a causa,pampa
a continuacion,niman
a cual,kanyepan
a el,kin
a ella,kin
a ellos,kin
a ellas,kin
a espaldas,kuitlapan
a esta hora,imani
a esta parte,iyepan
a este lado,iyepan
a la vista,ixpan
a lo mejor,kox
a los lados,tlamak
a menudo,achika
a mi,nech
a nosotros,tech
a poco,tlach
a poco no,anomo
a sus pies,ikxitlantsinko
a ti,mits
a tiempo,imixpa
a traves de,tika
a uno y a otro,auik
a veces,kemanian
a ustedes,amech
abad,teoyotika tepachoani
abajo,tlani
abajo,temo
abalanzar,tekuitlaxeloa
aballestar,tepostlauitoloa
abalorio,koskatl
abandonado,tlakauali
abandonado,iknotl
abandonar,tlakaua
abandono,tlakaualistli
abarca,mekakaktli
abarcar,tlamalkochka
abatible,tlachitlasaki
abatimiento,nepilotiuechilistli
abceso,kuetlaxsauatl
abecedario,machiotlajtololistli
abecedario,tlajtolmelaukan
abedul,aititl
abeja,pipiyoli
abeja,apis mellifica
abeja reina,kuausayoli
abeja reina,nekusayoli
abejaruco,xikotototl
abejorro,xikotli
abertura,tlapouilistli
abertura de la boca,kamachololistli
abertura de llaga,chipeliuistli
abeto,osokotl
abeto blanco,akxoyatl
abierto,tlapouki
abismo,auejkatlan
ablandado,tlatilili
ablandado,yamanili
ablandado,seseuilo
ablandar el corazon,yolpapatstia
ablandar,tlayamania
abogacia,tepantlajtolistli
abogado,tepantlahtoani
abolengo,tlakamekayotl
abolicion,amoixnauatilistli
abolidor,amoixnauatini
abolir,amoixnauatia
abollado,tlapatsoli
abolladura,tlapatsolistli
abollar,tlapatsoua
abominable,tlatelchiualoni
abominar,tlatelchiua
abonado,tlalkualitoli
abonar,yetlakualkuanti
abonar la tierra,kualitoa
abono,kuitlasoli
abono,kuausoli
aborigen,achtotlakatl
abortado,sanoli
abortado,tlaxilin
abortado,tlaxili
abortar,tlatlaxilia
aborto,tlatlaxilistli
abotonar,totomiliui
abrazado,napaloli
abrazador,napaloani
abrazar,nauateki
abrazar,napaloa
abrazo,tenauatekilistli
abrazo,napalolistli
abrego,amilpampa ejekatl
abrelatas,tepostlapoani
abreviacion,tlailochtilistli
abreviado,tlailochtili
abreviar,tlailochtia
abreviatura,tlailochtilistli
abrigado,tlaekatsakuilili
abrigado,tlayamanixtimani
abrigar,eka
abrigar,tlaekatsakuilia
abrigo,netlakentilistli
abril,abrili
abrir de las flores,kueponkayotl
abrir,tlapoa
abrir la boca,kamacholoa
abrir la mano,malpatsoa
abrir los ojos,ixaya
abrochado,tlatlapili
abrochar,tlatlapia
abrojo,chikalotl
abrotoñar,texochilia
absceso,temalotl
absoluto,sentetl
abstinencia,saualistli
abuela,sijtli
abuelas,sisijtin
abuelo,koli
abuelos,kokoltin
abuelos,koltin
abuhado,aatenki
abundancia,axkauilistli
abundancia,miaktiyotl
abundante,axkauak
abundante,ixachi
abundar,axkauia
aburrido,atlauinani
aca,nikan
acabar,tlami
academia,toltekali
acaecer,mochiua
acahual,akauali
acajutla,akaxotlan
acalan,akalan
acalorar,tona
acamaya,akamayatl
acampanado,tanatik
acanalado,akaltik
acanalado,uakaltik
acanalar,akaloa
acantilado del mar,xaxamakatimani
acantilado,akueskomatl
acaparado,semanali
acaparador,semanani
acaparamiento,semanalistli
acaparar,semana
acaponeta,akapolnetlan
acapulco,akapolko
acapulqueño,akapolkatl
acariciar,tlaapapachoa
acariciar,mataka
acarrear,saka
acarreo,sakalistli
acaso,kuix
acaso,aso san
acaso,asej
acatar,teixtilia
acatar,pachoa
acatarrar,tlatlasi
acatlan,akatlan
acatolico,tlateokixtiani
acatzingo,akatsinko
acaudillar,nitemana
acayucan,akayokan
acceso,kalokoayan
acceso de la ciudad,altepekalokoayan
accesorio,tlakakoskatl
accesorio del brazo,matemekatl
accesorio personal,tlakatlamantli
accidentar,kokoxkui
accidentarse,tlakokoltia
accidente,kokolistli
acechar,tlachialia
acedarse,xokoya
acedera,tepexokoyoli
aceite,chiauikayotl
aceitoso,chiauik
aceituna,kuilotl
aceleracion,nemosiuilistli
acelerar,tlaakaninotlalia
acemila planta,yolitl
aceptacion,tlauelkaktli
aceptado,tlauelkaktli
aceptar,tlakui
aceptar,tlauelkaki
acequia,akalojtli
acequia,apantli
acera,temamatli
acerca de,itech
acercamiento,axitialistli
acercar,teasitlania
acercar,yanonasi
acercarse,maxitia
acero,ueytepostli
acertado,tlapantili
acertar,tlaipantilia
achacoso,anotstlani
achiote,achiotl
achiotes,achiomej
acidez,xokolistli
acido,xokok
acido urico,axixtli
acierto,tlaipantilistli
acne,sauatl
acobardar,maukatlayekoa
acocil,akosili
acocil,akosilin
acocote,akokotli
acocote,piatstli
acoger,ana
acolito,tlamasteokaltoni
acolman,akolman
acolmiztli,akolmistli
acomedido,tlachiuak
acomedido,mokuini
acometido,tlalnepanualtilistli
acomadarse,aki
acompañado,tlatlayeloak
acompañamiento,tetlayelistli
acompañante,tlatlayeni
acompañante,ontekauani
acompañar,teaxiltia
acompañar,tlauika
acompañar,tetlanika
acomgojado,tetlokoli
acongojar,tetlokoltia
aconsejado,tlatolnamiktli
aconsejar,tlatlajtolnamiki
acordar,tlanamiki
acordarse,tlalnamiki
acordeon,akordioni
acordeon,teposkuikakaxitl
acosado,tlaisiuitili
acosado,tekuekuechmiktoani
acosar,tlaisijiuia
acoso,tlasijiuilistli
acostado,motekak
acostar,tlateka
acostarse,koliui
acostarse,moteka
acostumbrado,tiknemitili
acostumbrar,tiknemitia
acrecentar,tlatlapiuia
acreedor,itechtlaktok
acribillar,totopotsa
acropolis,akopaltepetl
actividad,isiukayotl
actividad,tekipanolistli
actitud,tetsauitl
activo,aini
acto,ainilistli
acto eterosexual,auilnemilistli
acto homosexual,uilonyotl
acto lesbico,petlasiuayotl
acto polisexual,ueyauilnemilistli
acto sexual,auilnemilistli
actopan,atokpan
actuacion,ixeuayilistli
actual,axkan
actualmente,axkanistika
actuar,ixeuayilia
acuchillar,tlateposmakuauuia
acudir,uelamati
acuarela,tetlapali
acuarelas,kuautlapaloni
acuario,michakaxitl
acuario,auakoyan
acuatico,aki
acueducto,atiakuiuayan
acueducto,aojtli
acuerdo,neyolnonotsalistli
acuerdo,tlanemililistli
acuerdo,tlateixpauili
acumular,potsoa
acusacion,tlateixpauilistli
acusado,tlateixpauili
acusante,tlateixpauiani
acusar,teteiluia
acusar,tlateixpouilia
acurrucado,tekocholi
acurrucar,tekochoa
adaptado,yaitlayolo
adaptar,moyetstika
adeherir,tsitsini
adelantar,tototsa
adelante,okachinepan
adelgazado,tlakanautli
adelgazamiento,tlanauilistli
adelgazar,tlakanaua
ademas,noiuki
adentro,tlajtek
adepto religioso,teotlalnoteki
aderezado,tlachichiuali
aderezado,tlaixamili
aderezar,tlachichiua
aderezo,tlachichiualistli
adiccion,kochipayotl
adicto,kochipatili
adicion,setilistli
adicionar,setilia
adiestrado,tlayakatentli
adiestrar,teyakana
adinerado,tominyi
adios,anej
adivinanza,sasanilistli
adivinanza,tlakanenkistli
adivina,tleino
adivinar,tlachixki
adivino,tlachixki
adivino de la tierra,tetlamatsin
adjetivo,tlajtouali
adjudicado,tetechtili
adjudicar,tetechti
adjudicarse,tetechtilia
administracion,tetlamamakilistli
administrador,tetlamamakani
administrar,tetlamachia
administrar,pixkua
administrativo,pouani
admirable,mauitstik
admiracion,tlamatsauilistli
admirar,teitsauia
admitido,tlauelkaktli
admitido,tlaselili
admitir,tlauelkaktia
admitir,tlaselia
adobar,tlachichia
adobe,xamitl
adobe,xakamitl
adobo,tlachichitl
adolescencia femenina,ichpokatepitonkayotl
adolescencia masculina,okichpilkayotl
adolescente hombre,okichpiltsintli
adolescente mujer,ichpokatl
adolorido,texiutlati
adonde,kan
adopcion,netepitsintilistli
adoptado,netepitsintili
adoptar,tlapiltsintia
adorable,neteotiloani
adoracion,neteotilistli
adorador,neteotiloani
adorar,teotia
adormecer,kochtlasa
adormecido,tekochtektli
adormecimiento,tekochtekalistli
adornado,tlasenkauali
adornar,chichiua
adorno,xauki
adorno de papel,amaneapanali
adquirir propiedad,axkati
adquirir peso,etia
aduana,kalixkuakali
adueñar,axkatia
adulterio,tetlaximalistli
adultero,tetlaxinki
adultero,tlaxinki
adulto,ueueyi
adverbio,kautik
advertir,tlanonotsa
advertir,xonexka
adviento,ualalistli
aerodeslizador,ejekatlapalki
aerolito,sitlalminatetl
aeronave,tepostototl
aeronave,akalpatlani
aeroplano,akalpatlani
aeroplano,tepospatlanki
aeroplano,tepostototl
aeropuerto,ejekalkixoayan
afabilidad,ekpiltikayotl
afamar,tlateneua
afeitada,xauali
afeitar,xaua
afeitar,texima
afeite,xauali
afeminado,uilontli
afganistan,afgania
afgano,afganekatl
afgano,afganitl
aficionado,itechmomaki
afilado,tenitstik
afilado,uitstik
afilar,tlatentia
afirmacion,kemaj
afirmar,tlatoua
afirmativo,kemaj
afliccion,eleli
afligido,tlaokoxki
afligir,chichinatsa
aflojar,kaxani
aflojar,molonia
aflojarse,kaxaua
afonico,ikotokak
afonico,itsauakak
afrentar,atemouia
africa,afrika
africano,afrikanekatl
afro,kakatsak
afro,kakatsatlakatl
afroamericano,kakatsak
afroamericano,kakatsatlakatl
afuera,kiuak
agachado,pixtok
agachar,ayeutiuetsi
agalla,nakaskolotl
agalla de carrizo,akatemetl
agarrar,aana
agarrar,kui
agarrar,kitski
agarrarse,kitskia
agave,metl
agave americano,ketsalmetl
agave azul,texometl
agave azul,tekilametl
agave lechuguilla,metontli
agave mezcalero,metskatl
agave pulquero,nekumetl
agaves,memej
agitacion,etsontilistli
agitado,etsontli
agitador,etsonki
agitar,etsona
aglomerado,uipani
aglomerar,uipana
agonia,nemosiuilistli
agotamiento,auatsalistli
agotar,auatsi
agradable,pakki
agradable,semele
agradar,paktia
agradecer,tlasojkamati
agradecido,tlasojkamatili
agradecimiento,tlasojkamatilistli
agriar,xokoya
agricola,milakayo
agricultura,milakayotl
agricultor,milpixki
agrio,xokok
agrupacion,ololouistli
agrupar,ololoua
agrura,xokolistli
agua,atl
agua de nixtamal,nexatl
agua de nixtamal,nexayotl
agua de sabor,xokoatl
agua deliciosa,auelik
agua estancada,apolatl
agua fria,asesek
agua helada,itstikatl
agua golpeada,chapali
agua mineral,ameyalatl
agua oxigenada,aayolistli
agua potable,chipauakatl
agua potable,yekatl
agua purificada,achipauatl
agua reflejante,ateskatl
agua salada,poyekatl
agua salitrosa,tekixkiatl
agua sucia,atsoatl
agua termal,atotonili
agua transparente,ateskatl
agua turbia,tesatl
aguacate,auakatli
aguacate grande,pauatl
aguacate silvestre,chichikauakatli
aguacates,auakatin
aguacatero,auakakuauitl
aguacero,kiauitl
aguado,apaltik
aguador,amakak
aguafiestas,atlauinani
aguajocoque,auaxokotl
aguamiel,ayonekutli
aguamiel,menekutli
aguamiel,tekuatl
aguanieve,asetl
aguantado,euatok
aguantar,eua
aguardar,tlapielia
aguardiente,ilistli
aguardiente,atletl
aguas,aa
aguascalientes,aguaskalientes
aguascaltense,aguaskaltekatl
agudeza,tenakkayotl
agudo,uelikakuikatl
agudo,tenatik
agudo,yolo
agüero,tetsautl
aguijon,tlimiuki
aguila,kuautli
aguila arpia,tekolokuautli
aguila blanca,istakuautli
aguila calva,istakuautli
aguila pie barrado,itskuautli
aguila quebrantahuesos,tlekuautli
aguila real,ketsalkuautli
aguila roja,chichilkuautli
aguila solitaria,tlilkuautli
aguilas,kuautin
aguililla,kuaukonetl
aguilucho,kuaukonetl
agüita,atsintli
aguja,koyolomitl
aguja,itsmitl
agujerado,koyoktik
agujerado,koyonki
agujerado,koyonili
agujerar,tlakoyonia
agujerito,tlakoyokton
agujero,koyoktli
agujero,kalaktli
agujero circular,koyoktik
agujero de tumba,tekochtli
sotano,koyouak
aguejeta,mekaitsmitl
agusanado,tlaokuili
agusanar,tlaokuilia
agusanarse,chakaliui
agustino,agustin teopixki
ahi,onkan
ahi esta, nexkan 
ahijada,siuakomkonetl
ahijado,komkonetl
ahijado,tepankixtipili
ahogado,atlamikini
ahogar,atlamiki
ahogarse,atlaua
ahogarse por humo,popokmiki
ahora,axkan
ahora,axan
ahora mismo,niman axkan
ahorcado,tlamekanili
ahorcar,tlamekania
ahorrador,tlatlakuittani
ahorrar,tlatlakuitta
ahorro,tlatlakuittalistli
ahuacatlan,auakatlan
ahuachapan,auachanpan
ahuecado,tepantli
ahuehuete,aueuetl
ahuejote,auexotl
ahuitzotl,auitsotl
ahumado,pucheuak
ahumado,pochetik
ahumar,pocheua
ahumarse,tepocheui
ahuyentar,ixpeui
aire,ejekatl
aire caliente,ejekatotonik
aire frio,ejekasesek
aire seco,ejekauakki
aires,ejekamej
aislado,anak
aislado,anakmosatlani
aislar,atsakua
aislar,tlaikoni
ajacuba,axakopan
ajedrez,kuapatoli
aji,chili
chile chipotle,chilpoktli
aji de arbol,kuauchili
chile piquin,chiltekpin
chile pasilla,tlilchili
aji seco,chiluakki
aji rojo,chilchili
aji verde,chilchotl
ajeno,tetlatkini
ajo,kosnakatl
ajoloapan,axoloapan
ajolote,axolotl
ajonjoli,axoli
ajustar,tlanamiki
ajustarse,aki
al,kanapa
al contrario,ikuepka mochiutika
al dia siguiente,imostlatika
al final,satepan
al instante,niman
al lado,itlak
al menos,nenkan
al mismo tiempo,noijki
al momento,achitonka
al norte,amiktlampa
al oriente,tlaukopa
al otro lado,sentlapa
al reves,sanikuepa
al sur,uitstlampa
ala,astli
ala,atlapali
ala,masnekapali
alabanza,teokuikatl
alabar,tetlamachia
alacate,alakatl
alacena,kuautlauankali
alacran,kolotl
alacranes,kokolo
alado,astitok
alambre,mekatepostli
alambre,teposmekatl
alameda,kuauojtli
alamo,akuauitl
alamo blanco,chilkolkuauitl
alamo blanco,akuauitl
alamo canadiense,koskuauitl
alamo negro,chopotl
alas,asmej
alaska,alaskak
alaskeño,alastekatl
alarife,tlakitki
alarife,kalketski
albanes,albanekatl
albania,albania
albañil,kalketski
albañil,tlakitki
albañil,kalchiuki
albaricoque,chauakatl
alberca,akaxitl
albergador,tesiliani
albergar,teselia
albergue,tesililoyan
albino,tlakatastali
alborotador,akomanani
alborotar,akomana
alboroto,akomanalistli
albur,patolsasanili
alcahuete,tetlanochili
alcalde,altepetlajtoani
alcaldesa,altepesiuatlajtoani
alcaldia,altepetlajtokayotl
alcance,aiuteittalistli
alcance,asitl
alcanfor,anakuauitl
alcanzar,teasi
alcaraban,tlapaltototl
alce,masamistli
alcohol,techichik
alcoholico,techiuikki
alcornoque,auasonektli
aldea,altepemaitl
alegrar,kaki
alegrar,yolpaki
alegrar a otro,tepakilia
alegrarse,papaki
alegre,aauiani
alegria,auilistli
alegria,pakyotl
alejandria,kakaloxochitl
